Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,northern ontario,2,19,1,Jacob Horgan,Right,Third,,63,87%,40,70%,103,81%,,41,87%,45,70%,86,78%,,104,87%,85,70%,189,79%
2019,northern ontario,2,19,1,Max Cull,Right,Second,,61,79%,33,75%,94,78%,,49,78%,47,81%,96,79%,,110,79%,80,78%,190,79%
2019,northern ontario,2,19,1,Maxime Blais,Right,Lead,,131,86%,27,78%,158,85%,,17,90%,13,81%,30,86%,,148,87%,40,79%,188,85%
2019,northwest territories,7,19,1,Sawer Kaeser,Right,Fourth,,41,56%,33,53%,74,55%,,33,67%,43,76%,76,72%,,74,61%,76,66%,150,64%
2019,northwest territories,7,19,1,Tristan MacPherson ,Right,Third,,44,55%,28,45%,72,51%,,42,69%,44,60%,86,64%,,86,62%,72,54%,158,58%
2019,northwest territories,7,19,1,Garret Minute,Right,Second,,58,57%,41,56%,99,57%,,35,74%,26,68%,61,71%,,93,63%,67,61%,160,62%
2019,northwest territories,7,19,1,Caleb Brake,Right,Lead,,82,60%,27,68%,109,62%,,16,33%,11,55%,27,42%,,98,56%,38,64%,136,58%
2019,nova scotia,3,19,1,Owen Purcell,,Fourth,,55,73%,28,62%,83,69%,,53,70%,46,72%,99,71%,,108,72%,74,68%,182,70%
2019,nova scotia,3,19,1,Graeme Weagle,Right,Third,,59,74%,35,67%,94,71%,,41,73%,50,80%,91,77%,,100,74%,85,75%,185,74%
2019,nova scotia,3,19,1,Jeffrey Meagher,Right,Second,,62,81%,40,69%,102,76%,,48,77%,36,88%,84,82%,,110,79%,76,78%,186,79%
2019,nova scotia,3,19,1,Brett Dorey,Right,Lead,,133,83%,30,88%,163,84%,,15,63%,8,81%,23,70%,,148,81%,38,86%,186,82%
2019,nunavut,7,18,1,Javen komaksiutiksak ,Right,Fourth,,43,45%,28,47%,71,46%,,31,69%,36,62%,67,65%,,74,55%,64,55%,138,55%
2019,nunavut,7,18,1,David Aglukark,Right,Third,,44,55%,34,57%,78,55%,,44,56%,43,66%,87,61%,,88,55%,77,62%,165,58%
2019,nunavut,7,18,1,Jason Panika,Right,Second,,20,39%,27,58%,47,50%,,38,69%,38,59%,76,64%,,58,59%,65,59%,123,59%
2019,nunavut,7,18,1,Calvin Laforet,Right,Lead,,72,43%,70,42%,142,42%,,18,39%,11,57%,29,46%,,90,42%,81,44%,171,43%
2019,ontario,4,19,1,Alex Vincent,,alternate,,4,69%,8,50%,12,56%,,1,100%,2,63%,3,75%,,5,75%,10,53%,15,60%
2019,ontario,4,19,1,Samuel Steep,,Fourth,,38,70%,43,65%,81,67%,,40,73%,53,80%,93,77%,,78,71%,96,73%,174,73%
2019,ontario,4,19,1,Adam Vincent,,Third,,59,86%,38,67%,97,78%,,42,80%,43,76%,85,78%,,101,83%,81,72%,182,78%
2019,ontario,4,19,1,Oliver Campbell,,Second,,50,82%,41,80%,91,81%,,41,73%,50,81%,91,77%,,91,78%,91,80%,182,79%
2019,ontario,4,19,1,Emerson Steffler,Right,Lead,,73,85%,62,81%,135,83%,,19,82%,11,89%,30,84%,,92,84%,73,82%,165,83%
2019,prince edward island,6,18,1,Tyler Smith,Right,Fourth,,44,78%,29,64%,73,72%,,42,82%,51,73%,93,77%,,86,80%,80,70%,166,75%
2019,prince edward island,6,18,1,Ryan Abraham,Right,Third,,37,76%,23,63%,60,71%,,44,77%,64,76%,108,77%,,81,77%,87,73%,168,75%
2019,prince edward island,6,18,1,Alex MacFadyen,Right,Second,,39,79%,41,80%,80,80%,,41,77%,47,80%,88,79%,,80,78%,88,80%,168,79%
2019,prince edward island,6,18,1,Ryan Lowery,Left,Lead,,94,81%,57,81%,151,81%,,11,91%,6,38%,17,72%,,105,82%,63,77%,168,80%
2019,quebec,1,19,1,Vincent Roberge,Right,Fourth,,38,76%,50,72%,88,74%,,37,83%,53,80%,90,81%,,75,79%,103,76%,178,77%
2019,quebec,1,19,1,Jesse Mullen,Right,Third,,32,77%,56,79%,88,79%,,31,85%,62,82%,93,83%,,63,81%,118,81%,181,81%
2019,quebec,1,19,1,Simon-Olivier Hébert,Right,Second,,28,76%,68,76%,96,76%,,47,77%,39,86%,86,81%,,75,76%,107,79%,182,78%
2019,quebec,1,19,1,Bradley Lequin,Left,Lead,,139,88%,27,85%,166,88%,,11,82%,4,38%,15,70%,,150,88%,31,79%,181,86%
2019,saskatchewan,2,22,1,Rylan Kleiter,Right,Fourth,,38,82%,53,81%,91,81%,,44,72%,59,81%,103,77%,,82,77%,112,81%,194,79%
2019,saskatchewan,2,22,1,Trevor Johnson,Right,Third,,26,70%,43,76%,69,74%,,60,76%,74,80%,134,78%,,86,74%,117,78%,203,77%
2019,saskatchewan,2,22,1,Joshua Mattern,Left,Second,,49,76%,38,84%,87,80%,,52,83%,65,77%,117,80%,,101,79%,103,80%,204,80%
2019,saskatchewan,2,22,1,Matthieu Taillon,Right,Lead,,66,83%,84,87%,150,85%,,18,74%,32,78%,50,77%,,84,81%,116,84%,200,83%
2019,yukon,6,18,1,Trygg Jensen,Right,Fourth,,42,65%,32,70%,74,67%,,40,68%,34,72%,74,70%,,82,66%,66,71%,148,68%
2019,yukon,6,18,1,Will Klassen,Right,Third,,36,49%,41,57%,77,54%,,30,65%,46,79%,76,74%,,66,56%,87,69%,153,64%
2019,yukon,6,18,1,Alex Kopan,,Second,,44,59%,45,65%,89,62%,,25,62%,40,68%,65,66%,,69,60%,85,66%,154,63%
2019,yukon,6,18,1,Alexander Schultz,,Lead,,50,70%,68,55%,118,61%,,17,65%,19,78%,36,72%,,67,68%,87,60%,154,63%
2018,alberta,3,21,1,Karsten Sturmay,Right,Fourth,,45,82%,40,84%,85,83%,,59,87%,54,84%,113,85%,,104,85%,94,84%,198,84%
2018,alberta,3,21,1,Chris Kennedy,Right,Third,,51,79%,40,84%,91,81%,,62,83%,50,93%,112,87%,,113,81%,90,89%,203,85%
2018,alberta,3,21,1,Glenn Venance,Right,Second,,45,83%,40,90%,85,86%,,60,85%,59,82%,119,83%,,105,84%,99,85%,204,85%
2018,alberta,3,21,1,Caleb Boorse,Right,Lead,,97,90%,68,90%,165,90%,,16,92%,22,88%,38,89%,,113,91%,90,90%,203,90%
2018,british columbia,1,24,1,Tyler Tardi,Left,Fourth,,57,79%,42,79%,99,79%,,102,88%,45,89%,147,88%,,159,85%,87,84%,246,84%
2018,british columbia,1,24,1,Sterling Middleton,Right,Third,,56,88%,44,85%,100,87%,,61,89%,93,89%,154,89%,,117,88%,137,87%,254,88%
2018,british columbia,1,24,1,Jordan Tardi,Right,Second,,50,88%,58,90%,108,89%,,59,82%,87,86%,146,85%,,109,84%,145,88%,254,86%
2018,british columbia,1,24,1,Zac Curtis,Right,Lead,,68,83%,129,86%,197,85%,,18,53%,38,76%,56,68%,,86,77%,167,84%,253,82%
2018,manitoba,2,22,1,JT Ryan,Left,Fourth,,42,82%,50,74%,92,77%,,67,91%,59,91%,126,91%,,109,88%,109,83%,218,85%
2018,manitoba,2,22,1,Jacques Gauthier,Right,Third,,41,87%,33,81%,74,84%,,68,89%,80,88%,148,89%,,109,88%,113,86%,222,87%
2018,manitoba,2,22,1,Colin Kurz,Right,Second,,37,85%,41,87%,78,86%,,76,86%,68,85%,144,85%,,113,85%,109,86%,222,85%
2018,manitoba,2,22,1,Brendan Bilawka,Right,Lead,,137,88%,48,82%,185,86%,,19,78%,13,79%,32,78%,,156,87%,61,82%,217,85%
2018,new brunswick,5,20,1,Liam Marin,Right,Fourth,,37,74%,57,79%,94,77%,,28,80%,46,74%,74,77%,,65,77%,103,77%,168,77%
2018,new brunswick,5,20,1,Tyler Smith,Right,Third,,34,86%,54,85%,88,85%,,37,81%,53,83%,90,82%,,71,83%,107,84%,178,84%
2018,new brunswick,5,20,1,Felipe K. Marin,Right,Second,,43,81%,43,79%,86,80%,,35,82%,53,83%,88,82%,,78,82%,96,81%,174,81%
2018,new brunswick,5,20,1,Dylan MacDonald,Right,Lead,,74,78%,78,84%,152,81%,,11,80%,5,80%,16,80%,,85,78%,83,84%,168,81%
2018,newfoundland and labrador,4,19,1,Nathan Young,Right,alternate,,2,88%,2,100%,4,94%,,1,75%,1,0%,2,38%,,3,83%,3,67%,6,75%
2018,newfoundland and labrador,4,19,1,Daniel Bruce,Right,Fourth,,36,67%,49,66%,85,67%,,38,77%,52,78%,90,78%,,74,72%,101,72%,175,72%
2018,newfoundland and labrador,4,19,1,Ryan McNeil Lamswood,Right,Third,,22,74%,40,79%,62,77%,,53,68%,70,87%,123,79%,,75,70%,110,84%,185,78%
2018,newfoundland and labrador,4,19,1,Andrew,Left,Second,,40,83%,28,75%,68,79%,,57,79%,55,76%,112,78%,,97,80%,83,76%,180,78%
2018,newfoundland and labrador,4,19,1,Nathan King,Right,Lead,,39,81%,99,76%,138,78%,,15,75%,29,85%,44,82%,,54,80%,128,78%,182,79%
2018,northern ontario,1,24,1,Tanner Horgan,Right,Fourth,,46,77%,39,87%,85,81%,,52,83%,61,81%,113,82%,,98,80%,100,84%,198,82%
2018,northern ontario,1,24,1,Jacob Horgan,Right,Third,,33,88%,44,88%,77,88%,,53,87%,70,80%,123,83%,,86,87%,114,83%,200,85%
2018,northern ontario,1,24,1,Nick Bissonnette,Right,Second,,27,82%,52,79%,79,80%,,57,86%,61,88%,118,87%,,84,85%,113,84%,197,84%
2018,northern ontario,1,24,1,Maxime Blais,Right,Lead,,28,89%,136,85%,164,86%,,9,81%,23,79%,32,80%,,37,87%,159,84%,196,85%
2018,northwest territories,6,17,1,Sawer Kaeser,Right,Fourth,,41,54%,42,51%,83,53%,,42,61%,28,64%,70,62%,,83,58%,70,56%,153,57%
2018,northwest territories,6,17,1,Tristan MacPherson ,Right,Third,,42,53%,37,51%,79,52%,,47,70%,30,73%,77,71%,,89,62%,67,61%,156,62%
2018,northwest territories,6,17,1,Joe Sturgeon,Right,Second,,42,58%,51,59%,93,59%,,36,63%,26,66%,62,64%,,78,60%,77,62%,155,61%
2018,northwest territories,6,17,1,Garret Minute,Right,Lead,,68,63%,64,57%,132,60%,,20,61%,5,50%,25,59%,,88,63%,69,57%,157,60%
2018,nova scotia,4,19,1,Matthew Manuel,Right,Fourth,,46,77%,33,76%,79,77%,,40,86%,66,87%,106,87%,,86,81%,99,83%,185,82%
2018,nova scotia,4,19,1,Adam Cocks,Right,Third,,41,72%,34,85%,75,78%,,49,82%,66,84%,115,83%,,90,77%,100,85%,190,81%
2018,nova scotia,4,19,1,Nick Zachernuk,Right,Second,,40,80%,38,82%,78,81%,,38,92%,74,88%,112,90%,,78,86%,112,86%,190,86%
2018,nova scotia,4,19,1,Alec Cameron,Right,Lead,,59,86%,85,84%,144,85%,,18,85%,22,83%,40,84%,,77,86%,107,84%,184,85%
2018,nunavut,7,17,1,David Aglukark,Right,Fourth,,42,51%,25,58%,67,54%,,35,59%,43,66%,78,63%,,77,55%,68,63%,145,59%
2018,nunavut,7,17,1,Javen Komaksiutiksak,Right,Third,,38,39%,26,45%,64,41%,,31,59%,51,62%,82,61%,,69,48%,77,56%,146,52%
2018,nunavut,7,17,1,Jarred Quintal,,Second,,36,28%,45,44%,81,37%,,38,45%,27,54%,65,48%,,74,37%,72,48%,146,42%
2018,nunavut,7,17,1,Isaac Strickland,,Lead,,44,41%,42,44%,86,42%,,25,61%,35,66%,60,64%,,69,48%,77,54%,146,51%
2018,ontario,2,21,1,Matthew Hall,Right,Fourth,,45,76%,42,73%,87,74%,,59,78%,38,83%,97,80%,,104,77%,80,78%,184,77%
2018,ontario,2,21,1,Jeff Wanless,Right,Third,,37,88%,41,82%,78,85%,,57,81%,57,82%,114,82%,,94,84%,98,82%,192,83%
2018,ontario,2,21,1,Joey Hart,Right,Second,,45,89%,36,86%,81,88%,,50,89%,63,91%,113,90%,,95,89%,99,89%,194,89%
2018,ontario,2,21,1,David Hart,Right,Lead,,72,89%,79,87%,151,88%,,20,89%,12,77%,32,84%,,92,89%,91,85%,183,87%
2018,prince edward island,5,20,1,Alex MacFadyen,Right,Fourth,,37,61%,44,65%,81,63%,,43,69%,40,66%,83,67%,,80,65%,84,65%,164,65%
2018,prince edward island,5,20,1,James Dalton,Right,Third,,36,66%,45,68%,81,67%,,38,73%,47,78%,85,76%,,74,70%,92,73%,166,71%
2018,prince edward island,5,20,1,Leslie Noye,Right,Second,,31,65%,50,77%,81,72%,,28,83%,57,75%,85,78%,,59,73%,107,76%,166,75%
2018,prince edward island,5,20,1,Parker MacFadyen,Right,Lead,,43,79%,91,65%,134,70%,,13,63%,17,63%,30,63%,,56,75%,108,65%,164,69%
2018,quebec,3,19,1,Alek Bedard,Right,Fourth,,36,79%,47,83%,83,81%,,48,64%,64,84%,112,75%,,84,71%,111,84%,195,78%
2018,quebec,3,19,1,Louis Quevillon,Left,Third,,39,82%,47,81%,86,82%,,53,75%,61,78%,114,77%,,92,78%,108,80%,200,79%
2018,quebec,3,19,1,Émile Asselin,Right,Second,,51,77%,46,85%,97,81%,,53,83%,50,83%,103,83%,,104,80%,96,84%,200,82%
2018,quebec,3,19,1,Bradley Lequin,Left,Lead,,86,91%,75,85%,161,88%,,21,79%,16,89%,37,83%,,107,89%,91,85%,198,87%
2018,saskatchewan,7,18,1,Rylan Kleiter,Right,Fourth,,41,79%,46,80%,87,79%,,34,82%,47,79%,81,80%,,75,80%,93,79%,168,80%
2018,saskatchewan,7,18,1,Trevor Johnson,Right,Third,,41,81%,35,86%,76,84%,,49,83%,47,80%,96,82%,,90,82%,82,83%,172,82%
2018,saskatchewan,7,18,1,Joshua Mattern,Left,Second,,37,83%,46,85%,83,84%,,50,86%,39,71%,89,79%,,87,84%,85,79%,172,82%
2018,saskatchewan,7,18,1,Matthieu Taillon,Right,Lead,,66,83%,76,88%,142,86%,,13,69%,14,73%,27,71%,,79,81%,90,86%,169,83%
2018,yukon,6,17,1,Joe Kerr Wallingham,Right,Fourth,,44,68%,39,59%,83,64%,,35,76%,43,66%,78,71%,,79,72%,82,63%,161,67%
2018,yukon,6,17,1,Trygg Jensen,Right,Third,,41,71%,38,61%,79,66%,,41,76%,50,83%,91,80%,,82,74%,88,74%,170,74%
2018,yukon,6,17,1,Brayden Klassen,Right,Second,,49,80%,38,69%,87,75%,,39,72%,44,77%,83,75%,,88,77%,82,73%,170,75%
2018,yukon,6,17,1,William Klassen,Right,Lead,,71,65%,60,56%,131,61%,,23,71%,15,67%,38,69%,,94,67%,75,58%,169,63%
2017,alberta,3,17,1,Colton Goller,Right,Fourth,,42,85%,44,66%,86,76%,,42,86%,56,67%,98,75%,,84,85%,100,67%,184,75%
2017,alberta,3,17,1,Tyler Lautner,Right,Third,,49,86%,42,82%,91,84%,,49,84%,54,79%,103,81%,,98,85%,96,80%,194,83%
2017,alberta,3,17,1,Kurtis Goller,Right,Second,,53,83%,36,70%,89,78%,,71,77%,34,76%,105,77%,,124,80%,70,73%,194,77%
2017,alberta,3,17,1,Nicholas Rabl,Right,Lead,,118,89%,36,84%,154,88%,,22,88%,15,77%,37,83%,,140,89%,51,82%,191,87%
2017,british columbia,1,20,1,Tyler Tardi,Left,Fourth,,46,82%,36,78%,82,80%,,61,80%,41,78%,102,79%,,107,81%,77,78%,184,80%
2017,british columbia,1,20,1,Sterling Middleton,Right,Third,,30,79%,36,88%,66,84%,,64,79%,60,79%,124,79%,,94,79%,96,82%,190,80%
2017,british columbia,1,20,1,Jordan Tardi,Right,Second,,24,82%,38,70%,62,75%,,60,91%,68,75%,128,83%,,84,88%,106,74%,190,80%
2017,british columbia,1,20,1,Nicholas Meister,Right,Lead,,71,83%,81,88%,152,86%,,23,72%,14,82%,37,76%,,94,80%,95,87%,189,84%
2017,manitoba,1,18,1,JT Ryan,Left,Fourth,,64,78%,44,75%,108,77%,,49,82%,55,78%,104,80%,,113,79%,99,77%,212,78%
2017,manitoba,1,18,1,Jacques Gauthier,Right,Third,,51,82%,55,86%,106,84%,,59,78%,55,83%,114,80%,,110,80%,110,85%,220,82%
2017,manitoba,1,18,1,Graham McFarlane,Right,Second,,52,79%,43,77%,95,78%,,58,79%,67,82%,125,81%,,110,79%,110,80%,220,80%
2017,manitoba,1,18,1,Brendan Bilawka,Right,Lead,,83,80%,102,92%,185,86%,,16,72%,16,75%,32,73%,,99,79%,118,89%,217,84%
2017,new brunswick,4,17,1,Liam Marin,Right,Fourth,,26,53%,37,70%,63,63%,,52,72%,64,72%,116,72%,,78,65%,101,71%,179,69%
2017,new brunswick,4,17,1,Carter Small,Left,Third,,50,71%,30,78%,80,74%,,57,79%,45,76%,102,78%,,107,75%,75,77%,182,76%
2017,new brunswick,4,17,1,Felipe K. Marin,Right,Second,,35,80%,53,62%,88,69%,,40,77%,54,73%,94,74%,,75,78%,107,67%,182,72%
2017,new brunswick,4,17,1,James Kyle ,Right,Lead,,57,70%,87,80%,144,76%,,9,72%,10,70%,19,71%,,66,70%,97,79%,163,75%
2017,newfoundland & labrador,6,17,1,Greg Blyde,Right,Fourth,,46,73%,30,63%,76,69%,,43,75%,67,79%,110,77%,,89,74%,97,74%,186,74%
2017,newfoundland & labrador,6,17,1,Liam Gregory,Left,Third,,42,67%,43,70%,85,68%,,52,71%,52,80%,104,75%,,94,69%,95,75%,189,72%
2017,newfoundland & labrador,6,17,1,Ian Withycombe,Right,Second,,28,69%,46,72%,74,71%,,53,78%,63,73%,116,76%,,81,75%,109,73%,190,74%
2017,newfoundland & labrador,6,17,1,Connor Stapleton,Left,Lead,,133,78%,19,76%,152,78%,,21,55%,12,71%,33,61%,,154,75%,31,74%,185,75%
2017,northern ontario,3,19,1,Tanner Horgan,Right,Fourth,,27,81%,43,73%,70,76%,,63,84%,50,81%,113,83%,,90,83%,93,77%,183,80%
2017,northern ontario,3,19,1,Jacob Horgan,Right,Third,,32,82%,34,83%,66,83%,,57,88%,65,80%,122,84%,,89,86%,99,81%,188,84%
2017,northern ontario,3,19,1,Nick Bissonnette,Right,Second,,35,84%,37,74%,72,79%,,48,90%,68,87%,116,88%,,83,87%,105,83%,188,85%
2017,northern ontario,3,19,1,Maxime Blais,Right,Lead,,22,82%,144,79%,166,80%,,8,75%,11,77%,19,76%,,30,80%,155,79%,185,79%
2017,northwest territories,7,15,1,Sawer Kaeser,Right,Fourth,,33,36%,28,46%,61,41%,,48,71%,58,54%,106,62%,,81,57%,86,51%,167,54%
2017,northwest territories,7,15,1,Tristan MacPherson ,Right,Third,,22,34%,29,40%,51,37%,,40,44%,41,35%,81,40%,,62,41%,70,37%,132,39%
2017,northwest territories,7,15,1,Joe Sturgeon,Right,Second,,42,39%,49,38%,91,39%,,47,52%,32,43%,79,48%,,89,46%,81,40%,170,43%
2017,northwest territories,7,15,1,Garret Minute,Right,Lead,,50,44%,78,61%,128,54%,,23,49%,19,70%,42,58%,,73,46%,97,63%,170,55%
2017,nova scotia,4,17,1,Matthew Manuel,Right,Fourth,,33,67%,41,75%,74,71%,,37,77%,58,81%,95,79%,,70,72%,99,78%,169,76%
2017,nova scotia,4,17,1,Adam Cocks,Right,Third,,41,83%,39,79%,80,81%,,41,75%,51,77%,92,76%,,82,79%,90,78%,172,79%
2017,nova scotia,4,17,1,Nick Zachernuk,Right,Second,,37,76%,49,80%,86,78%,,41,67%,45,83%,86,76%,,78,71%,94,82%,172,77%
2017,nova scotia,4,17,1,Alec Cameron,Right,Lead,,65,85%,78,85%,143,85%,,11,80%,15,87%,26,84%,,76,85%,93,85%,169,85%
2017,nunavut,6,16,1,Arthur Siksik,Right,Fourth,,26,31%,25,42%,51,36%,,32,66%,34,51%,66,58%,,58,50%,59,47%,117,49%
2017,nunavut,6,16,1,Tyson Komaksiutiksak,Right,Third,,56,45%,37,47%,93,46%,,29,63%,26,45%,55,55%,,85,51%,63,46%,148,49%
2017,nunavut,6,16,1,Javen Komaksiutiksak,Right,Second,,54,29%,24,45%,78,34%,,30,64%,40,68%,70,66%,,84,42%,64,59%,148,49%
2017,nunavut,6,16,1,David Aglukark,Right,Lead,,90,63%,36,58%,126,62%,,11,52%,11,48%,22,50%,,101,62%,47,56%,148,60%
2017,ontario,2,20,1,Matthew Hall,Right,Fourth,,54,69%,37,81%,91,74%,,85,81%,52,84%,137,82%,,139,77%,89,83%,228,79%
2017,ontario,2,20,1,Jeff Wanless,Right,Third,,42,73%,40,74%,82,73%,,83,88%,71,87%,154,87%,,125,83%,111,82%,236,82%
2017,ontario,2,20,1,Joey Hart,Right,Second,,32,75%,42,76%,74,75%,,98,89%,64,91%,162,90%,,130,86%,106,85%,236,85%
2017,ontario,2,20,1,David Hart,Right,Lead,,88,80%,98,84%,186,82%,,27,90%,22,82%,49,86%,,115,82%,120,84%,235,83%
2017,prince edward island,2,17,1,Tyler Smith,Right,Fourth,,39,74%,42,68%,81,71%,,45,81%,54,75%,99,78%,,84,77%,96,72%,180,75%
2017,prince edward island,2,17,1,Chris Gallant,Right,Third,,32,72%,34,83%,66,78%,,60,78%,56,72%,116,75%,,92,76%,90,76%,182,76%
2017,prince edward island,2,17,1,Noah O'Connor,Right,Second,,41,79%,43,77%,84,78%,,40,76%,58,78%,98,77%,,81,77%,101,77%,182,77%
2017,prince edward island,2,17,1,Brooks Roche,Right,Lead,,78,83%,69,78%,147,80%,,15,80%,18,75%,33,77%,,93,82%,87,77%,180,80%
2017,quebec,5,16,1,Vincent Roberge,Right,Fourth,,37,74%,42,63%,79,68%,,47,78%,55,68%,102,73%,,84,76%,97,65%,181,71%
2017,quebec,5,16,1,Julien Tremblay,Right,Third,,42,61%,49,67%,91,64%,,52,79%,43,78%,95,79%,,94,71%,92,72%,186,72%
2017,quebec,5,16,1,Etienne Elmaleh,Right,Second,,38,73%,49,71%,87,72%,,57,79%,42,79%,99,79%,,95,76%,91,75%,186,76%
2017,quebec,5,16,1,Fabien Roberge,Right,Lead,,53,81%,98,74%,151,76%,,20,74%,15,78%,35,76%,,73,79%,113,75%,186,76%
2017,saskatchewan,5,17,1,Rylan Kleiter,Right,Fourth,,42,79%,31,72%,73,76%,,44,76%,35,78%,79,77%,,86,77%,66,75%,152,76%
2017,saskatchewan,5,17,1,Trevor Johnson,Right,Third,,43,77%,33,89%,76,83%,,42,81%,37,74%,79,78%,,85,79%,70,81%,155,80%
2017,saskatchewan,5,17,1,Joshua Mattern,Left,Second,,35,80%,43,65%,78,72%,,42,69%,38,80%,80,74%,,77,74%,81,72%,158,73%
2017,saskatchewan,5,17,1,Matthieu Taillon,Right,Lead,,70,76%,62,82%,132,79%,,12,52%,9,86%,21,67%,,82,72%,71,82%,153,77%
2016,alberta,4,15,1,Karsten Sturmay,Right,Fourth,,46,73%,47,70%,93,72%,,38,76%,51,84%,89,80%,,84,74%,98,77%,182,76%
2016,alberta,4,15,1,Tristan Steinke,Right,Third,,50,86%,38,78%,88,83%,,54,83%,42,85%,96,84%,,104,85%,80,82%,184,83%
2016,alberta,4,15,1,Chris Kennedy,Right,Second,,48,81%,38,80%,86,81%,,49,87%,49,89%,98,88%,,97,84%,87,85%,184,85%
2016,alberta,4,15,1,Caleb Boorse,Right,Lead,,121,82%,38,84%,159,82%,,13,75%,12,83%,25,79%,,134,81%,50,84%,184,82%
2016,british columbia,1,16,1,Tyler Tardi,Left,Fourth,,43,73%,41,77%,84,75%,,69,84%,41,75%,110,80%,,112,80%,82,76%,194,78%
2016,british columbia,1,16,1,Daniel Wenzek,Right,Third,,28,76%,48,86%,76,82%,,56,84%,62,81%,118,82%,,84,81%,110,83%,194,82%
2016,british columbia,1,16,1,Jordan Tardi,Right,Second,,33,86%,41,81%,74,83%,,49,90%,71,82%,120,85%,,82,88%,112,82%,194,85%
2016,british columbia,1,16,1,Nicholas Meister,Right,Lead,,25,80%,127,85%,152,84%,,21,74%,21,81%,42,77%,,46,77%,148,84%,194,82%
2016,manitoba,1,17,1,Matthew Dunstone,Right,Fourth,,57,90%,29,78%,86,86%,,63,94%,62,93%,125,93%,,120,92%,91,88%,211,90%
