Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2016,manitoba,1,17,1,None,None,ALL,,309,89%,105,84%,414,87%,,233,90%,203,92%,436,91%,,542,89%,308,89%,850,89%
2016,new brunswick,3,15,1,None,None,ALL,,188,73%,230,72%,418,72%,,154,80%,170,78%,324,79%,,342,76%,400,74%,742,75%
2016,newfoundland & labrador,6,14,1,None,None,ALL,,142,68%,240,77%,382,74%,,106,66%,139,74%,245,71%,,248,67%,379,76%,627,72%
2016,northern ontario,2,17,1,None,None,ALL,,116,77%,263,83%,379,81%,,180,83%,259,84%,439,84%,,296,81%,522,83%,818,82%
2016,northwest territories,6,14,1,None,None,ALL,,203,56%,190,57%,393,56%,,99,57%,114,55%,213,56%,,302,56%,304,56%,606,56%
2016,nova scotia,5,15,1,None,None,ALL,,140,79%,202,81%,342,80%,,135,77%,153,79%,288,78%,,275,78%,355,80%,630,79%
2016,nunavut,7,13,1,None,None,ALL,,210,42%,171,48%,381,45%,,106,55%,102,50%,208,53%,,316,46%,273,49%,589,48%
2016,ontario,3,15,1,None,None,ALL,,106,81%,245,81%,351,81%,,155,88%,206,88%,361,88%,,261,85%,451,84%,712,84%
2016,prince edward island,5,15,1,None,None,ALL,,205,73%,185,67%,390,70%,,125,67%,119,67%,244,67%,,330,71%,304,67%,634,69%
2016,quebec,2,15,1,None,None,ALL,,140,75%,257,75%,397,75%,,142,77%,210,81%,352,79%,,282,76%,467,78%,749,77%
2016,saskatchewan,4,15,1,None,None,ALL,,234,81%,148,82%,382,82%,,164,86%,202,81%,366,84%,,398,83%,350,82%,748,83%
2016,yukon,7,13,1,None,None,ALL,,137,59%,201,61%,338,60%,,120,67%,140,71%,260,69%,,257,63%,341,65%,598,64%
